,Round,Cycle,MouseID,Gender,Donor,ASD_diagnosis,OFT_Distance,OFT_velocity,OFT_LrgCntr_freq,OFT_LrgCntr_duration,OFT_LrgCntr_latency,OFT_SmlCntr_freq,OFT_SmlCntr_duration,OFT_SmlCntr_latency,OFT_Movement,MB_visible,MB_buried,MB_percentBuried,DSI_Agrsn_freq,DSI_Agrsn_duration,DSI_Social_freq,DSI_Social_duration,DSI_Groom_freq,DSI_Groom_Duration,SI_Habit_Social,SI_Habit_Cntr,SI_Habit_NonSocial,SI_Sociability_Social,SI_Sociability_Cntr,SI_Sociability_NonSocial,Unnamed: 30,Unnamed: 31,Unnamed: 32,USV_freq,USV_Duration,DSI_USV_median,DSI_USV_StdDev,DSI_USV_Freq,DSI_USV_Duration,DSI_USV_Slbl_num,DSI_USV_Slbl_Duration,DSI_USV_Slbl_Gap_Length,DSI_USV_Slbl_Bout_freq,DSI_USV_Slbl_Bout_gap,DSI_USV_Slbl_SlblPerBout,Unnamed: 45,SI_index
646,10.0,3.0,15.0,Male,A11-old,ASD,4535.39,7.581760000000001,137.0,84.8515,2.33567,57.0,89.3894,12.645999999999999,54.3261,13.0,7.0,35.0,0.0,0.0,15.0,57.33,11.0,18.32,98.365,158.091,302.236,255.65599999999998,53.95399999999999,226.293,,,,,,0.014130000000000002,0.01895,345.0,4.8752,456.0,29.0,727.0,63.0,158.0,7.0,,3.0462766807276296
647,10.0,3.0,16.0,Male,A11-old,ASD,3895.77,6.5289,90.0,57.1572,5.5055,23.0,26.0928,16.9169,48.7767,15.0,5.0,25.0,5.0,22.805,16.0,72.185,5.0,9.2,207.774,248.949,90.7574,279.513,55.4555,212.713,,,,,,0.00109,0.0034700000000000004,875.0,0.9593,89.0,13.0,4035.0,57.0,158.0,2.0,,6.785500969067051
648,10.0,3.0,17.0,Male,C4,NT,4026.93,6.826960000000001,127.0,64.331,15.9826,41.0,38.4051,16.2162,49.7331,14.0,6.0,30.0,0.0,0.0,21.0,77.5,5.0,9.725,184.852,234.067,135.235,350.284,73.97399999999999,143.01,,,,,,0.00995,0.013869999999999999,653.0,6.4994,927.0,22.0,347.0,144.0,158.0,6.0,,21.009175055849056
649,10.0,3.0,18.0,Male,C4,NT,5089.01,8.544889999999999,132.0,72.6727,0.0,55.0,82.8829,0.033366,58.1183,14.0,6.0,30.0,0.0,0.0,19.0,36.3,1.0,1.51,222.623,211.71200000000002,109.61,216.45,69.1692,267.501,,,,,,0.0063100000000000005,0.013819999999999999,98.0,0.6185,18.0,6.0,17796.0,6.0,12589.0,3.0,,-5.2743976146345375
650,10.0,3.0,19.0,Male,C4,NT,3737.32,6.38365,88.0,61.3947,2.03537,47.0,120.02,2.2022,41.915,18.0,2.0,10.0,0.0,0.0,11.0,20.51,4.0,13.005,146.813,249.95,159.526,249.71599999999998,43.1431,254.988,,,,,,0.014490000000000001,0.0339,95.0,1.3774,16.0,12.0,22185.0,12.0,200.0,1.0,,-0.522286330205425
651,10.0,3.0,20.0,Male,C4,NT,4968.51,8.29238,141.0,80.5806,0.2002,64.0,113.28,4.4044,56.7226,9.0,11.0,55.0,0.0,0.0,23.0,49.405,0.0,0.0,141.108,179.713,240.84099999999998,228.295,64.3644,266.567,,,,,,0.00864,0.03028,133.0,1.1501,9.0,13.0,43073.0,7.0,251.0,1.0,,-3.8669366409221126
652,10.0,3.0,21.0,Male,A9-old,ASD,4844.17,8.15204,107.0,54.3543,6.23957,32.0,83.1498,6.439769999999999,54.4206,15.0,5.0,25.0,0.0,0.0,11.0,19.365,3.0,9.835,159.76,203.303,204.638,268.235,61.9286,234.167,,,,,,0.00823,0.023780000000000003,280.0,2.3058,18.0,9.0,17810.0,4.0,15849.0,5.0,,3.390511980445936
653,10.0,3.0,22.0,Male,A9-old,ASD,3253.49,5.5449,98.0,69.7364,5.33867,34.0,51.3847,5.538869999999999,41.6593,20.0,0.0,0.0,0.0,0.0,12.0,35.125,2.0,11.29,145.612,197.331,198.19799999999998,241.175,32.5325,280.848,,,,,,0.013030000000000002,0.03247,335.0,4.3651,42.0,6.0,7670.0,8.0,10000.0,5.0,,-3.799928355647168
654,10.0,3.0,23.0,Male,A9-old,ASD,4991.98,8.366019999999999,127.0,61.1278,1.7684400000000002,47.0,72.2055,1.93527,55.1323,17.0,3.0,15.0,0.0,0.0,13.0,29.25,1.0,9.2,175.87599999999998,204.671,166.233,261.128,56.5232,225.058,,,,,,0.0134,0.029810000000000003,185.0,2.4797,61.0,7.0,5863.0,3.0,31623.0,20.0,,3.7094856700933363
655,10.0,3.0,24.0,Male,A9-old,ASD,3759.0,6.277909999999999,99.0,97.3307,19.4862,29.0,57.5242,19.8198,47.3476,13.0,7.0,35.0,6.0,40.985,14.0,50.495,0.0,0.0,120.68700000000001,210.077,218.018,156.523,87.8545,293.961,,,,,,0.07662000000000001,0.08276,331.0,2.3753,64.0,36.0,5028.0,10.0,6310.0,6.0,,-15.2544818461921
