t Welch log Wilcoxan nb nb.x2 nb.perm qp combo mu_0 effect n theta
0.910871298413122 0.91095335829573 0.745162042332798 0.643064447080429 0.909160611633771 0.909185019465007 0.93 0.9092598812506 1 4 1 10 0.5
0.296884786435064 0.305239236578336 0.217294231914341 0.290367274444752 0.181032232634176 0.199522249171133 0.356 0.253456826713873 1 4 1 10 0.5
0.725519272865901 0.726138726878116 0.264692705493609 0.273836414417241 0.743801975127912 0.744510559820513 0.713 0.730373326463359 1 4 1 10 0.5
0.204750374705847 0.209504293108564 0.128110120484015 0.167749984659995 0.126551312318713 0.138565252413823 0.239 0.17982280072433 1 4 1 10 0.5
1 1 0.990378027535377 0.877045299230749 1 0.999999835255552 0.971 0.999999999077779 1 4 1 10 0.5
0.824135530464823 0.824156404743749 0.880034273225994 0.818778583987218 0.838034095603877 0.838149445264227 0.873 0.821462453738458 1 4 1 10 0.5
0.376149181316416 0.384273612922665 0.863926109851581 1 0.274589360226024 0.286283953725004 0.505 0.323365214657409 1 4 1 10 0.5
0.817303834430179 0.817926427641678 0.500053865657777 0.224693954549815 0.825467021206305 0.825737226197905 0.847 0.811334164858321 1 4 1 10 0.5
0.769452932080361 0.769907893340919 0.933247838433978 1 0.758823718753267 0.759348365553851 0.763 0.763180987395869 1 4 1 10 0.5
0.973284826847517 0.973311829546052 0.451132763045729 0.27287046711408 0.973256095749187 0.973256868655366 1 0.972961515870693 1 4 1 10 0.5
0.550324332009453 0.551928002335119 0.671779371595851 0.725885286321661 0.52175637125329 0.525284119691327 0.644 0.534269184744052 1 4 1 10 0.5
0.439988428578011 0.443811262712127 0.495565839257158 0.53028459683361 0.372797844591545 0.381204109483855 0.55 0.411984392655225 1 4 1 10 0.5
0.319104765835249 0.329436730396047 0.751321344333916 1 0.261888671153447 0.279539261523577 0.44 0.256822242627844 1 4 1 10 0.5
0.70840636085195 0.70880601695256 0.381403879409926 0.416459808637568 0.754499843174767 0.755001659099189 0.721 0.709287780569832 1 4 1 10 0.5
0.492480452894018 0.492992031388602 0.222427804006344 0.195676290635218 0.560827799255131 0.564323829975932 0.549 0.507000552434332 1 4 1 10 0.5
0.894367196506625 0.894408907024213 0.530860478015378 0.300113679201147 0.907277658531001 0.907325514181641 0.905 0.893639519180229 1 4 1 10 0.5
0.865853445729705 0.866226157199355 0.512519657298057 0.616470614135419 0.877584384674686 0.877644237711676 0.9 0.865544942743271 1 4 1 10 0.5
