status	exp	origin	tank2	tank	daysPI	ES
wild	2	S	219	19	108	5
wild	2	S	219	19	109	5
wild	2	S	219	19	109	5
farmed	2	F	220	20	64	1
farmed	2	F	220	20	64	1
farmed	2	F	220	20	66	1
farmed	2	F	220	20	77	1
farmed	2	F	220	20	77	2
farmed	2	F	220	20	87	2
farmed	2	F	220	20	89	3
farmed	2	F	220	20	89	3
farmed	2	F	220	20	90	3
farmed	2	F	220	20	100	4
farmed	2	F	220	20	100	4
farmed	2	F	220	20	100	4
farmed	2	F	220	20	101	4
farmed	2	F	220	20	111	5
farmed	2	F	221	21	63	1
farmed	2	F	221	21	63	1
farmed	2	F	221	21	65	1
farmed	2	F	221	21	65	1
farmed	2	F	221	21	70	1
farmed	2	F	221	21	74	1
farmed	2	F	221	21	74	1
farmed	2	F	221	21	74	1
farmed	2	F	221	21	74	1
farmed	2	F	221	21	77	1
farmed	2	F	221	21	78	2
farmed	2	F	221	21	78	2
farmed	2	F	221	21	79	2
farmed	2	F	221	21	81	2
farmed	2	F	221	21	86	2
farmed	2	F	221	21	86	2
farmed	2	F	221	21	86	2
farmed	2	F	221	21	87	2
farmed	2	F	221	21	88	2
farmed	2	F	221	21	91	3
farmed	2	F	221	21	93	3
farmed	2	F	221	21	93	3
farmed	2	F	221	21	96	3
farmed	2	F	221	21	98	3
farmed	2	F	221	21	98	3
farmed	2	F	221	21	98	3
farmed	2	F	221	21	98	3
farmed	2	F	221	21	100	3
farmed	2	F	221	21	102	4
farmed	2	F	221	21	102	4
farmed	2	F	221	21	104	4
farmed	2	F	221	21	109	4
farmed	2	F	221	21	110	4
farmed	2	F	221	21	110	4
farmed	2	F	221	21	112	4
farmed	2	F	221	21	114	4
farmed	2	F	221	21	114	4
farmed	2	F	221	21	116	5
farmed	2	F	221	21	120	5
farmed	2	F	221	21	120	5
farmed	2	F	221	21	121	5
farmed	2	F	221	21	121	5
farmed	2	F	221	21	122	5
farmed	2	F	221	21	124	5
farmed	2	F	221	21	126	5
farmed	2	F	221	21	126	5
wild	2	S	223	23	60	1
wild	2	S	223	23	63	1
wild	2	S	223	23	72	2
wild	2	S	223	23	76	2
wild	2	S	223	23	85	3
wild	2	S	223	23	85	3
wild	2	S	223	23	96	4
wild	2	S	223	23	100	4
wild	2	S	223	23	108	5
wild	2	S	223	23	112	5
farmed	2	F	224	24	64	1
farmed	2	F	224	24	65	1
farmed	2	F	224	24	67	1
farmed	2	F	224	24	70	1
farmed	2	F	224	24	75	1
farmed	2	F	224	24	77	2
farmed	2	F	224	24	79	2
farmed	2	F	224	24	79	2
farmed	2	F	224	24	87	2
farmed	2	F	224	24	87	3
farmed	2	F	224	24	89	3
farmed	2	F	224	24	90	3
farmed	2	F	224	24	92	3
farmed	2	F	224	24	99	4
farmed	2	F	224	24	101	4
farmed	2	F	224	24	102	4
farmed	2	F	224	24	104	4
farmed	2	F	224	24	112	5
farmed	2	F	224	24	113	5
farmed	2	F	224	24	114	5
farmed	2	F	224	24	116	5
farmed	2	F	225	25	63	1
farmed	2	F	225	25	65	1
farmed	2	F	225	25	69	1
farmed	2	F	225	25	70	1
farmed	2	F	225	25	77	2
farmed	2	F	225	25	79	2
farmed	2	F	225	25	82	2
farmed	2	F	225	25	82	2
farmed	2	F	225	25	88	3
farmed	2	F	225	25	91	3
farmed	2	F	225	25	93	3
farmed	2	F	225	25	94	3
farmed	2	F	225	25	105	4
farmed	2	F	225	25	106	4
farmed	2	F	225	25	106	4
farmed	2	F	225	25	112	5
farmed	2	F	225	25	116	5
farmed	2	F	225	25	117	5
wild	2	S	226	26	60	1
wild	2	S	226	26	61	1
wild	2	S	226	26	64	1
wild	2	S	226	26	65	1
wild	2	S	226	26	73	2
wild	2	S	226	26	73	2
wild	2	S	226	26	76	2
wild	2	S	226	26	78	2
wild	2	S	226	26	85	3
wild	2	S	226	26	87	3
wild	2	S	226	26	88	3
wild	2	S	226	26	98	4
wild	2	S	226	26	109	4
wild	2	S	226	26	114	4
wild	2	S	226	26	121	5
wild	2	S	226	26	121	5
wild	2	S	226	26	125	5
wild	2	S	227	27	64	1
wild	2	S	227	27	68	1
wild	2	S	227	27	68	1
wild	2	S	227	27	79	2
wild	2	S	227	27	80	2
wild	2	S	227	27	89	3
wild	2	S	227	27	92	3
wild	2	S	227	27	101	3
wild	2	S	227	27	113	4
wild	2	S	227	27	125	5
farmed	2	F	228	28	66	1
farmed	2	F	228	28	68	1
farmed	2	F	228	28	71	1
farmed	2	F	228	28	71	1
farmed	2	F	228	28	77	2
farmed	2	F	228	28	81	2
farmed	2	F	228	28	83	2
farmed	2	F	228	28	92	3
farmed	2	F	228	28	94	3
farmed	2	F	228	28	94	3
farmed	2	F	228	28	101	3
farmed	2	F	228	28	104	4
farmed	2	F	228	28	106	4
farmed	2	F	228	28	106	4
farmed	2	F	228	28	113	4
