status	exp	origin	picture	tank2	tank	date	daysPI	Fdensity	Fdensity0	cephL	genL	ES	EES	ES1L	ES2L	eggsES1total	eggsES2total	eggstotal	max_ES
wild	1	O	11_030610a	111	11	6/3/10	58	1	1	5.279	4.054	1	2	13.291	12.972	196	191	388	196
wild	1	O	11_110610_f1	111	11	6/11/10	66	1	1	4.719	3.641	2	2	18.692	19.403	311	328	638	328
wild	1	O	11_210610_f1	111	11	6/21/10	76	1	1	4.726	3.747	3	2	19.218	19.982	337	343	680	343
wild	1	O	11_020710_f1	111	11	7/2/10	87	1	1	.	.	4	2	13.223	14.33	244	255	498	255
wild	1	O	11_120710_f1	111	11	7/12/10	97	1	1	4.809	3.686	5	2	8.022	8.235	22	42	64	42
farmed	1	B	13_080610_f1	113	13	6/8/10	54	1	1	4.434	3.318	1	2	11.349	10.565	167	172	339	172
farmed	1	B	13_180610_f1	113	13	6/18/10	64	1	1	4.408	3.583	2	2	12.865	14.612	234	256	490	256
farmed	1	B	14_100610_f1	114	14	6/10/10	56	6	6	4.552	3.357	1	2	10.553	10.842	163	166	329	166
farmed	1	B	14_100610_f2	114	14	6/10/10	56	6	6	4.935	3.931	1	2	15.220	14.986	240	239	479	240
farmed	1	B	14_100610_f3	114	14	6/10/10	56	6	6	4.682	3.816	1	2	13.629	13.443	236	234	470	236
farmed	1	B	14_100610_f4	114	14	6/10/10	56	6	6	4.266	3.324	1	2	11.435	11.402	178	180	358	180
farmed	1	B	14_100610_f5	114	14	6/10/10	56	6	6	4.683	3.937	1	2	14.974	14.488	226	220	447	226
farmed	1	B	14_100610_f6	114	14	6/10/10	56	6	6	4.660	3.523	1	2	7.211	6.839	86	98	184	98
farmed	1	B	14_180610_f1	114	14	6/18/10	64	3	6	4.296	3.377	2	2	17.835	14.106	304	259	564	304
farmed	1	B	14_180610_f2	114	14	6/18/10	64	3	6	4.549	3.744	2	2	19.323	18.629	332	332	664	332
farmed	1	B	14_180610_f3	114	14	6/18/10	64	3	6	4.635	3.923	2	2	21.514	19.536	397	390	786	397
farmed	1	B	14_280610_f1	114	14	6/28/10	74	3	6	4.435	3.460	3	2	21.455	19.49	371	328	699	371
farmed	1	B	14_080710_f1	114	14	7/8/10	84	3	6	4.366	3.551	4	2	19.936	21.107	324	374	699	374
farmed	1	B	14_200710_f3	114	14	7/20/10	96	3	6	4.398	3.428	5	2	18.3	10.239	287	182	469	287
