combo mu_0 effect n theta nb.error t Welch log Wilcoxan nb nb.x2 nb.perm qp
1 4 1 5 0.5 0 0.345452616697943 0.361770095505727 0.574132368620679 0.666430033928618 0.326673326673327 0.352714036868215 0.367316341829085 0.287766251329104
1 4 1 5 0.5 0 0.233562655371188 0.26125661634463 0.256222020199804 0.201676953550044 0.122877122877123 0.129188492280806 0.179910044977511 0.155075790578149
1 4 1 5 0.5 0 0.252359971432498 0.282123617650485 0.238535590868678 0.287333069671499 0.0839160839160839 0.080762045341609 0.184407796101949 0.169897492678935
1 4 1 5 0.5 0 0.53719146517571 0.542623850966668 0.909811275276451 1 0.524475524475524 0.559057608448125 0.530734632683658 0.505632683505722
1 4 1 5 0.5 0 0.427857575348741 0.42915206270274 0.474140589700717 0.456396717772725 0.404595404595405 0.411639661880026 0.40679660169915 0.406614068350454
1 4 1 5 0.5 0 0.588287350839077 0.591365520748058 0.827756980680744 0.832004028572637 0.56043956043956 0.526723267071194 0.610694652673663 0.565125263119121
1 4 1 5 0.5 0 0.0381709488124309 0.0639140242079743 0.0365480649247991 0.0669552823173684 0.00599400599400599 0.0126092228855275 0.0364817591204398 0.0178530696294341
1 4 1 5 0.5 0 0.203802066794446 0.233129668184138 0.214262525346946 0.241844304049463 0.0679320679320679 0.081966080434616 0.148925537231384 0.127665951485837
1 4 1 5 0.5 0 0.233006206522761 0.254309512421929 0.246908901558063 0.239316541221495 0.197802197802198 0.286179580417346 0.324337831084458 0.207909969519424
1 4 1 5 0.5 0 0.582983148078804 0.590584248221131 0.748907805038185 1 0.492507492507492 0.53841696470353 0.596201899050475 0.545160135407836
1 4 1 5 0.5 0 0.346593507087334 0.367679814397278 0.37946568771473 0.518605016428726 0.0579420579420579 0.246740127960816 0.397801099450275 0.298856989708672
1 4 1 5 0.5 0 0.059837875519286 0.0854594889414843 0.0233972195909794 0.0412580447574931 0.038961038961039 0.0212203758107315 0.0429785107446277 0.0413522988127584
1 4 1 5 0.5 0 0.192049415930261 0.227114650819588 0.0921123303668996 0.155795450307525 0.012987012987013 0.0144947425433532 0.0539730134932534 0.148680964088401
1 4 1 5 0.5 0 0.651392720432474 0.655253889327437 0.947854106334801 1 0.672327672327672 0.668987729852099 0.64367816091954 0.628168922072126
1 4 1 5 0.5 0 0.178409128927599 0.204825408743885 0.16150121133008 0.166607394028327 0.107892107892108 0.0871632576481364 0.230884557721139 0.127534730648366
1 4 1 5 0.5 0 0.402149342120052 0.415175604994169 0.472965469002482 0.607235543774111 0.282717282717283 0.489322121743075 0.488755622188906 0.369218267970262
1 4 1 5 0.5 0 0.727156760871389 0.733363707608897 0.717575734062105 0.595883090565178 0.667332667332667 0.682221352130871 0.745627186406797 0.701326948522841
1 4 1 5 0.5 0 0.443024479005638 0.463384841915635 0.865184184432618 0.910979292510634 0.277722277722278 0.327897826960715 0.493753123438281 0.357596617914727
1 4 1 5 0.5 0 0.45267198551197 0.469657824193065 0.790521828647456 1 0.344655344655345 0.33774935426706 0.482758620689655 0.382261283834543
1 4 1 5 0.5 0 0.422331188769713 0.432033776344818 0.768975626191232 0.52321709778149 0.384615384615385 0.430170933871265 0.421789105447276 0.376561980477655
1 4 1 5 0.5 0 0.851162380484899 0.85135497139609 0.583700206339453 0.480176889906077 0.7002997002997 0.867433729310143 0.841079460269865 0.849245677314873
1 4 1 5 0.5 0 0.4478606636881 0.455955914817323 0.393651358983521 0.52321709778149 0.371628371628372 0.34706893566776 0.454272863568216 0.408014644694039
1 4 1 5 0.5 0 0.220372526526007 0.223006557901409 0.149133631398425 0.161237591834016 0.291708291708292 0.292956353626409 0.258870564717641 0.238458461297111
1 4 1 5 0.5 0 0.855524120778647 0.855557138033569 0.849360579396206 0.745682542083693 0.811188811188811 0.86180051115925 0.841579210394803 0.851127944834898
1 4 1 5 0.5 0 0.215243543278886 0.223105624522816 0.276622339647011 0.394662549117567 0.221778221778222 0.207254157680312 0.23288355822089 0.18374380821283
1 4 1 5 0.5 0 0.652886785305348 0.658526655834006 0.175632417243435 0.166607394028327 0.689310689310689 0.639353280756336 0.649175412293853 0.667676310920081
1 4 1 5 0.5 0 0.836465938028362 0.836782599910847 0.473530207373002 0.665414397784769 0.833166833166833 0.88687038909385 0.831584207896052 0.833337450026446
1 4 1 5 0.5 0 0.891570243216906 0.891778689130445 0.898687437178734 0.823063273758121 0.872127872127872 0.893309265465627 0.893053473263368 0.887495240498212
1 4 1 5 0.5 0 0.158033629478378 0.180510675854414 0.180744328531521 0.247705870491867 0.161838161838162 0.0952130333062901 0.150424787606197 0.115390790787848
1 4 1 5 0.5 0 0.502086670948319 0.507284056644161 0.394795911020507 0.460596618704771 0.456543456543457 0.437233966580873 0.525237381309345 0.471815983546803
1 4 1 5 0.5 0 0.7174069448238 0.71800185728789 0.822664044113505 0.906329390836487 0.566433566433566 0.770479271914188 0.736131934032983 0.707256778078568
1 4 1 5 0.5 0 0.820666640906743 0.822594257661282 0.31069533982152 0.332111977901723 0.812187812187812 0.838771709154213 0.829585207396302 0.821843952190827
1 4 1 5 0.5 0 0.577271380134886 0.577317146858497 0.386446018906855 0.387093697259096 0.556443556443556 0.601769691079006 0.599700149925038 0.574480619111206
